# ----------------------------------------,,,,,,,,
# 1 Master View,,,,,,,,
# Rendimiento del producto,,,,,,,,
# 20190101-20191231,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Producto,Ingresos del producto,Compras únicas,Cantidad,Precio medio,Cantidad media,Importe de reembolso del producto,Porcentaje carrito/detalle,Porcentaje compra/detalle
Stan and Friends Tee Green,"45,00 US$",2,2,"22,50 US$","1,00","0,00 US$","15,15 %","3,03 %"
Google Red YoYo,"44,00 US$",2,11,"4,00 US$","5,50","0,00 US$","36,36 %","3,03 %"
Google Women's Black Tee,"43,98 US$",2,2,"21,99 US$","1,00","0,00 US$","3,11 %","1,04 %"
Android Youth Explorer Tee,"42,49 US$",3,3,"14,16 US$","1,00","0,00 US$","10,97 %","0,42 %"
YouTube Icon Bundle,"42,00 US$",1,1,"42,00 US$","1,00","0,00 US$","17,73 %","0,71 %"
Google Color Block Tote White,"40,99 US$",3,3,"13,66 US$","1,00","0,00 US$","36,44 %","0,31 %"
Google Twill Sandwich Cap Navy,"40,26 US$",4,4,"10,06 US$","1,00","0,00 US$","38,89 %","1,59 %"
Google Pen Grass Green,"40,25 US$",16,23,"1,75 US$","1,44","0,00 US$","55,72 %","4,82 %"
Google Inverted Umbrella,"40,00 US$",1,1,"40,00 US$","1,00","0,00 US$","2,63 %","0,20 %"
Google Tudes Thermal Bottle,"39,99 US$",1,1,"39,99 US$","1,00","0,00 US$","9,13 %","0,06 %"
Android Buoy Bottle,"39,97 US$",4,5,"7,99 US$","1,25","0,00 US$","13,02 %","0,30 %"
Android Notebook Set Black,"39,92 US$",4,8,"4,99 US$","2,00","0,00 US$","17,30 %","0,67 %"
Google KeepCup,"35,00 US$",1,1,"35,00 US$","1,00","0,00 US$","6,46 %","0,09 %"
Android Hexagon Tee,"34,98 US$",2,2,"17,49 US$","1,00","0,00 US$","8,33 %","0,76 %"
Android Leather Strap Hat Black,"34,00 US$",2,2,"17,00 US$","1,00","0,00 US$","17,62 %","0,21 %"
Google Campus Bike Corkbase Mug Blue,"34,00 US$",2,2,"17,00 US$","1,00","0,00 US$","8,15 %","0,56 %"
Google Pen Bright Blue,"33,25 US$",16,19,"1,75 US$","1,19","0,00 US$","47,41 %","3,31 %"
Android Iconic Hat Green,"32,00 US$",2,2,"16,00 US$","1,00","0,00 US$","20,00 %","0,53 %"
YouTube Buoy Bottle,"31,96 US$",2,4,"7,99 US$","2,00","0,00 US$","20,05 %","0,27 %"
Google Pen Lilac,"31,50 US$",13,18,"1,75 US$","1,38","0,00 US$","44,91 %","2,88 %"
Youth Google Pocket Tee Blue,"31,20 US$",2,2,"15,60 US$","1,00","0,00 US$","0,00 %","66,67 %"
YouTube Flex Journal Black,"30,35 US$",4,5,"6,07 US$","1,25","0,00 US$","15,53 %","0,39 %"
Google LoveHandle Black,"30,00 US$",3,3,"10,00 US$","1,00","0,00 US$","5,19 %","0,37 %"
Google Navy Speckled Tee,"30,00 US$",1,1,"30,00 US$","1,00","0,00 US$","18,63 %","0,38 %"
Google Unisex 3/4 Raglan Red,"29,99 US$",1,1,"29,99 US$","1,00","0,00 US$","37,50 %","4,17 %"
Google Pen Neon Coral,"29,75 US$",15,17,"1,75 US$","1,13","0,00 US$","53,37 %","4,60 %"
Android Garden Tee Orange,"29,00 US$",1,1,"29,00 US$","1,00","0,00 US$","5,77 %","0,96 %"
Google Beanie Maroon,"28,48 US$",2,2,"14,24 US$","1,00","0,00 US$","20,10 %","0,50 %"
Android Fanatic Bundle,"28,00 US$",1,1,"28,00 US$","1,00","0,00 US$","11,22 %","0,20 %"
Android Iconic Pen,"28,00 US$",4,16,"1,75 US$","4,00","0,00 US$","20,80 %","1,22 %"
Google Maps Pin,"28,00 US$",2,4,"7,00 US$","2,00","0,00 US$","15,59 %","0,68 %"
Google Cloth & Pouch Black,"27,96 US$",6,7,"3,99 US$","1,17","0,00 US$","12,15 %","0,36 %"
Google Campus Bike Bottle,"27,00 US$",1,1,"27,00 US$","1,00","0,00 US$","6,39 %","0,20 %"
Google Pen Red,"26,25 US$",14,15,"1,75 US$","1,07","0,00 US$","46,30 %","5,19 %"
Google 16 oz Tumbler Blue,"25,98 US$",2,2,"12,99 US$","1,00","0,00 US$","22,73 %","0,16 %"
Google Campus Corkbase Mug Purple,"25,49 US$",3,3,"8,50 US$","1,00","0,00 US$","34,20 %","0,98 %"
Google NYC Campus Unisex Tee,"25,00 US$",1,1,"25,00 US$","1,00","0,00 US$","0,00 %","0,97 %"
Google Red Kids Sunglasses,"24,95 US$",3,5,"4,99 US$","1,67","0,00 US$","29,74 %","0,33 %"
Android Iconic Bottle Black,"24,00 US$",1,1,"24,00 US$","1,00","0,00 US$","17,06 %","0,29 %"
Google Youth Badge Tee Navy,"24,00 US$",1,1,"24,00 US$","1,00","0,00 US$","0,00 %","1,56 %"
Google Youth Hero Tee Grey,"24,00 US$",1,1,"24,00 US$","1,00","0,00 US$","18,05 %","0,49 %"
Google Thermal Bottle Blue,"23,99 US$",1,1,"23,99 US$","1,00","0,00 US$","21,32 %","0,13 %"
Google Thermal Bottle Green,"23,99 US$",1,1,"23,99 US$","1,00","0,00 US$","36,18 %","0,34 %"
Google Thermal Bottle Yellow,"23,99 US$",1,1,"23,99 US$","1,00","0,00 US$","32,04 %","0,32 %"
Google Clip-On Flashlight Lantern Blue,"23,97 US$",2,3,"7,99 US$","1,50","0,00 US$","14,29 %","0,61 %"
Android Pocket Toddler Tee Navy,"23,00 US$",1,1,"23,00 US$","1,00","0,00 US$","14,58 %","2,08 %"
Android Pocket Toddler Tee White,"23,00 US$",1,1,"23,00 US$","1,00","0,00 US$","22,50 %","2,50 %"
Android Pocket Onesie Navy,"22,00 US$",1,1,"22,00 US$","1,00","0,00 US$","22,78 %","0,63 %"
Android 16 oz Tumbler Black,"21,99 US$",1,1,"21,99 US$","1,00","0,00 US$","11,36 %","0,16 %"
Google Tracking Hat,"20,99 US$",1,1,"20,99 US$","1,00","0,00 US$","7,54 %","0,18 %"
Android Iconic Beanie,"20,00 US$",2,2,"10,00 US$","1,00","0,00 US$","11,33 %","1,33 %"
Google Mural Sticky Note Pad,"20,00 US$",1,1,"20,00 US$","1,00","0,00 US$","7,19 %","0,36 %"
Google Speckled Beanie Grey,"20,00 US$",1,1,"20,00 US$","1,00","0,00 US$","24,68 %","0,25 %"
Google Snapback Navy Cap,"19,99 US$",1,1,"19,99 US$","1,00","0,00 US$","14,35 %","0,15 %"
Android Trace Mug Black,"19,98 US$",2,2,"9,99 US$","1,00","0,00 US$","20,75 %","0,19 %"
Google Confetti Slim Task Pad,"19,98 US$",3,3,"6,66 US$","1,00","0,00 US$","14,52 %","0,40 %"
Google Flower Tee Purple,"19,98 US$",2,2,"9,99 US$","1,00","0,00 US$","0,00 %","0,00 %"
Google Protector Tee Navy,"19,98 US$",2,2,"9,99 US$","1,00","0,00 US$","32,79 %","1,64 %"
Google Blue Kids Sunglasses,"19,97 US$",4,4,"4,99 US$","1,00","0,00 US$","33,42 %","0,98 %"
Google Pen Citron,"19,25 US$",10,11,"1,75 US$","1,10","0,00 US$","57,23 %","5,78 %"
Android Skate Kids Tee,"17,50 US$",1,1,"17,50 US$","1,00","0,00 US$","18,44 %","0,11 %"
Android Iconic Mug Gray,"17,00 US$",1,1,"17,00 US$","1,00","0,00 US$","20,19 %","0,19 %"
Google Mural Mug,"17,00 US$",1,1,"17,00 US$","1,00","0,00 US$","14,54 %","0,07 %"
Campus Corkbase Mug Purple,"16,99 US$",1,1,"16,99 US$","1,00","0,00 US$","18,00 %","0,29 %"
Android Iconic Hat White,"16,00 US$",1,1,"16,00 US$","1,00","0,00 US$","20,28 %","0,46 %"
Google Cork Pencil Pouch,"16,00 US$",2,2,"8,00 US$","1,00","0,00 US$","7,35 %","1,47 %"
Google Recycled Pen Black,"16,00 US$",4,8,"2,00 US$","2,00","0,00 US$","19,04 %","0,96 %"
Android Large Trace Journal Black,"15,99 US$",1,1,"15,99 US$","1,00","0,00 US$","10,49 %","0,33 %"
Android Hipster Pin,"15,98 US$",2,2,"7,99 US$","1,00","0,00 US$","18,18 %","0,37 %"
Google Blue YoYo,"15,20 US$",4,4,"3,80 US$","1,00","0,00 US$","32,56 %","9,30 %"
Android Iconic Sticker Sheet,"15,00 US$",1,5,"3,00 US$","5,00","0,00 US$","16,22 %","0,90 %"
Google Emoji Sticker Pack,"14,97 US$",3,3,"4,99 US$","1,00","0,00 US$","42,32 %","0,87 %"
Google Striped Tank,"14,50 US$",1,1,"14,50 US$","1,00","0,00 US$","12,50 %","0,19 %"
Google Campus Bike Grid Task Pad,"13,00 US$",1,1,"13,00 US$","1,00","0,00 US$","16,09 %","0,13 %"
Youth Google Pocket Tee Red,"13,00 US$",1,1,"13,00 US$","1,00","0,00 US$","0,00 %","0,00 %"
Google Confetti Accessory Pouch,"12,99 US$",1,1,"12,99 US$","1,00","0,00 US$","18,76 %","0,13 %"
Waze Mood Happy Window Decal,"12,60 US$",2,21,"0,60 US$","10,50","0,00 US$","42,29 %","1,14 %"
Android Youth Circle Tee,"12,50 US$",1,1,"12,50 US$","1,00","0,00 US$","17,70 %","0,17 %"
#IamRemarkable Unisex T-Shirt,"12,00 US$",1,1,"12,00 US$","1,00","0,00 US$","31,58 %","2,63 %"
Google Black Cork Journal,"12,00 US$",1,1,"12,00 US$","1,00","0,00 US$","4,50 %","0,25 %"
Google Felt Strap Keyring,"12,00 US$",1,1,"12,00 US$","1,00","0,00 US$","6,78 %","0,85 %"
Google Recycled Writing Set,"12,00 US$",2,2,"6,00 US$","1,00","0,00 US$","12,24 %","0,70 %"
Google Light Pen Blue,"11,96 US$",1,4,"2,99 US$","4,00","0,00 US$","33,71 %","0,57 %"
Waze Women's Short Sleeve Tee,"11,40 US$",2,2,"5,70 US$","1,00","0,00 US$","17,51 %","1,13 %"
Google Flex Journal Blue,"11,18 US$",2,2,"5,59 US$","1,00","0,00 US$","18,61 %","0,40 %"
Android Matrix Tee White,"11,00 US$",1,1,"11,00 US$","1,00","0,00 US$","2,74 %","0,27 %"
Waze Baby on Board Window Decal,"10,80 US$",9,12,"0,90 US$","1,33","0,00 US$","31,60 %","1,42 %"
Google Pride Sticker,"10,50 US$",9,14,"0,75 US$","1,56","0,00 US$","30,86 %","1,11 %"
Stainless Bent Straw/Cleaner,"10,50 US$",2,3,"3,50 US$","1,50","0,00 US$","8,96 %","1,00 %"
Stainless Straight Straw/Cleaner,"10,50 US$",2,3,"3,50 US$","1,50","0,00 US$","2,70 %","1,80 %"
Google Emoji Magnet Set,"10,00 US$",1,1,"10,00 US$","1,00","0,00 US$","3,80 %","1,27 %"
Android Small Tote Canvas,"9,99 US$",1,1,"9,99 US$","1,00","0,00 US$","19,61 %","0,98 %"
Waze Women's Typography Short Sleeve Tee,"9,49 US$",1,1,"9,49 US$","1,00","0,00 US$","22,22 %","0,40 %"
Google Mural Sticker Sheet,"9,00 US$",2,3,"3,00 US$","1,50","0,00 US$","7,75 %","0,74 %"
YouTube Iconic Play Pin,"8,00 US$",1,1,"8,00 US$","1,00","0,00 US$","14,43 %","0,12 %"
Android Geek Pin,"7,99 US$",1,1,"7,99 US$","1,00","0,00 US$","20,56 %","0,28 %"
Android Lumberjack Pin,"7,99 US$",1,1,"7,99 US$","1,00","0,00 US$","17,90 %","0,14 %"
Android Surfer Pin,"7,99 US$",1,1,"7,99 US$","1,00","0,00 US$","22,00 %","0,22 %"
Google Lip Balm & Sanitizer Duo,"6,99 US$",1,1,"6,99 US$","1,00","0,00 US$","14,67 %","0,06 %"
Waze Mood Ninja Window Decal,"6,60 US$",7,11,"0,60 US$","1,57","0,00 US$","46,95 %","4,27 %"
Google Striped Penny Pouch,"6,30 US$",1,1,"6,30 US$","1,00","0,00 US$","16,86 %","0,19 %"
Google Recycled Pen Green,"6,00 US$",3,3,"2,00 US$","1,00","0,00 US$","17,80 %","2,54 %"
Android Iconic 4&quot; Decal,"4,50 US$",2,3,"1,50 US$","1,50","0,00 US$","0,00 %","2,30 %"
Google Green YoYo,"4,00 US$",1,1,"4,00 US$","1,00","0,00 US$","23,64 %","0,91 %"
Google NYC Campus Sticker,"4,00 US$",2,2,"2,00 US$","1,00","0,00 US$","16,67 %","3,70 %"
Google Tech Taco,"4,00 US$",1,1,"4,00 US$","1,00","0,00 US$","12,50 %","0,17 %"
Google Yellow YoYo,"4,00 US$",1,1,"4,00 US$","1,00","0,00 US$","32,00 %","2,00 %"
Google Dog Frisbee,"3,00 US$",2,2,"1,50 US$","1,00","0,00 US$","11,84 %","2,63 %"
Waze Mood Original Window Decal,"3,00 US$",4,5,"0,60 US$","1,25","0,00 US$","47,47 %","4,04 %"
Google Doodle Decal,"2,99 US$",1,1,"2,99 US$","1,00","0,00 US$","32,05 %","0,64 %"
8 pc Android Sticker Sheet,"1,99 US$",1,1,"1,99 US$","1,00","0,00 US$","59,23 %","0,77 %"
#IamRemarkable Journal,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","14,63 %","0,00 %"
#IamRemarkable Ladies T-Shirt,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","57,89 %","0,00 %"
#IamRemarkable Lapel Pin,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","33,33 %","0,00 %"
#IamRemarkable Pen,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,55 %","0,00 %"
#IamRemarkable Tote,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","20,83 %","0,00 %"
#IamRemarkable Unisex Hoodie,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,00 %","0,00 %"
#IamRemarkable Water Bottle,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","32,93 %","0,00 %"
"7"" Dog Frisbee","0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","22,22 %","0,00 %"
Android Cable Organizer Green,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","27,35 %","0,00 %"
Android Cardboard Sculpture,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","9,54 %","0,00 %"
Android Coach's Jacket Black,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,62 %","0,00 %"
Android Coachâ€™s Jacket Black,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","0,88 %","0,00 %"
Android Crew Socks,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","36,21 %","0,00 %"
Android Flex Journal White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,75 %","0,00 %"
Android Gel Pen 2-Pack,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","25,00 %","0,00 %"
"Android Iconic 4"" Decal","0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","20,41 %","0,00 %"
Android Iconic Crew,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","7,32 %","0,00 %"
Android Iconic Crewneck Sweatshirt,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","8,07 %","0,00 %"
Android Iconic Glass Bottle Green,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","6,90 %","0,00 %"
Android Iconic Hat Black,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","12,43 %","0,00 %"
Android Iconic Notebook,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","6,97 %","0,00 %"
Android Iconic Pin,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","35,38 %","0,00 %"
Android Iconic Socks,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","12,99 %","0,00 %"
Android Infant Cozy Onesie,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","38,46 %","0,00 %"
Android Islands Kids Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","16,03 %","0,00 %"
Android Pocket Onesie White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","20,45 %","0,00 %"
Android Pocket Tee Green,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","9,59 %","0,00 %"
Android Pocket Youth Tee Green,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","6,25 %","0,00 %"
Android Pocket Youth Tee Navy,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","2,17 %","0,00 %"
Android Pride Kids Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","9,09 %","0,00 %"
Android Small Trace Journal Black,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","12,03 %","0,00 %"
Android Swim Kids Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","15,59 %","0,00 %"
Android Toddler Circle Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","21,26 %","0,00 %"
Android Unisex Track Jacket Black,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","7,04 %","0,00 %"
Android Women's Grid Zip-Up,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","6,30 %","0,00 %"
Android Women's Pride Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","6,80 %","0,00 %"
Android World Cup Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","3,56 %","0,00 %"
Android Youth Diamond Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","17,00 %","0,00 %"
Cam Indoor Security Camera - USA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","46,53 %","0,00 %"
Cam IQ - USA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","34,28 %","0,00 %"
Cam IQ Outdoor - USA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","34,98 %","0,00 %"
Candy Cane Android Cardboard Sculpture,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","5,01 %","0,00 %"
Connect -USA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","6,87 %","0,00 %"
Detect - USA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","26,79 %","0,00 %"
Dino Holiday Sweater,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","3,61 %","0,00 %"
Gift Card - $10.00,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","12,50 %","0,00 %"
Gift Card - $25.00,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","65,91 %","0,00 %"
Gift Card - $250.00,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","16,67 %","0,00 %"
Gift Card - $50.00,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","21,74 %","0,00 %"
Gift Card- $100.00,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","25,00 %","0,00 %"
Google 16 oz Glass Bottle Green,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","20,17 %","0,00 %"
Google 16 oz Glass Bottle Navy,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","22,42 %","0,00 %"
Google 22 oz Water Bottle,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","36,00 %","0,00 %"
Google 3/4 Raglan Red,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","21,68 %","0,00 %"
Google ApPeel Journal Red,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","3,40 %","0,00 %"
Google Austin Campus Sticker,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","13,33 %","0,00 %"
Google Beekeepers Onesie Pink,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","21,05 %","0,00 %"
Google Beekeepers Tee Mint,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","6,67 %","0,00 %"
Google Beekeepers Youth Tee Pink,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","7,89 %","0,00 %"
Google Bike Bottle,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","9,57 %","0,00 %"
Google Bottle Cleaner,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","19,88 %","0,00 %"
Google Boulder Campus Ladies Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","33,33 %","0,00 %"
Google Boulder Campus Unisex Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,88 %","0,00 %"
Google Boulder Campus Zip Hoodie,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","2,78 %","0,00 %"
Google Buoy Bottle,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","12,50 %","0,00 %"
Google Cambridge Campus Bottle,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","2,74 %","0,00 %"
Google Cambridge Campus Lapel Pin,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","6,90 %","0,00 %"
Google Cambridge Campus Mug,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","1,64 %","0,00 %"
Google Cambridge Campus Sticker,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","15,22 %","0,00 %"
Google Cambridge Campus Tote,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","2,50 %","0,00 %"
Google Cambridge Campus Unisex Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","1,65 %","0,00 %"
Google Cambridge Campus Zip Hoodie,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","3,14 %","0,00 %"
Google Campus Bike Bundle,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,71 %","0,00 %"
Google Campus Corkbase Mug Blue,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","20,92 %","0,00 %"
Google Cappy Bib Blue,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","41,49 %","0,00 %"
Google Cappy Bib White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","47,74 %","0,00 %"
Google Chicago Campus Bottle,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","3,70 %","0,00 %"
Google Chicago Campus Ladies Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","50,00 %","0,00 %"
Google Chicago Campus Lapel Pin,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","27,27 %","0,00 %"
Google Chicago Campus Sticker,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","12,00 %","0,00 %"
Google Chicago Campus Tote,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","5,26 %","0,00 %"
Google Chicago Campus Unisex Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","2,00 %","0,00 %"
Google Chicago Campus Zip Hoodie,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,95 %","0,00 %"
Google Color Block Tee White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","16,91 %","0,00 %"
Google Confetti Bundle,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","1,63 %","0,00 %"
Google Confetti Task Pad,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","20,00 %","0,00 %"
Google Confetti Tote White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","24,46 %","0,00 %"
Google Cork Card Holder,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","5,88 %","0,00 %"
Google Cork Journal,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,67 %","0,00 %"
Google Cork Key Ring,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","15,22 %","0,00 %"
Google Cork Passport Holder,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","13,04 %","0,00 %"
Google Cork Tablet Case,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","7,41 %","0,00 %"
Google Eco Tee Black,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","18,77 %","0,00 %"
Google Felt Luggage Tag,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","14,29 %","0,00 %"
Google Felt Mason Jar,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","0,55 %","0,00 %"
Google Felt Refillable Journal,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","3,74 %","0,00 %"
Google Flower Onesie Purple,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","38,31 %","0,00 %"
Google Hemp Tote,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","2,82 %","0,00 %"
Google Infant Hero Tee Olive,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","12,82 %","0,00 %"
Google Jumbo Print Tee White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","16,41 %","0,00 %"
Google Kids Playful Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","37,05 %","0,00 %"
Google Lightweight Crew Sweatshirt Grey,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","9,00 %","0,00 %"
Google Men's Softshell Jacket Black/Grey,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,91 %","0,00 %"
Google Men's Tech Fleece Grey,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","29,02 %","0,00 %"
Google Mountain View Tee Red,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","11,73 %","0,00 %"
Google Mural Bottle,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","11,33 %","0,00 %"
Google Mural Notebook,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","9,69 %","0,00 %"
Google Mural Socks,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","30,91 %","0,00 %"
Google Mural Tote,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","8,42 %","0,00 %"
Google Mustachio Bib Blue,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","82,61 %","0,00 %"
Google Mustachio Bib White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","23,81 %","0,00 %"
Google NYC Campus Bottle,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,00 %","0,00 %"
Google NYC Campus Lapel Pin,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,41 %","0,00 %"
Google NYC Campus Mug,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","12,70 %","0,00 %"
Google NYC Campus Tote,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","2,41 %","0,00 %"
Google NYC Campus Zip Hoodie,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","1,38 %","0,00 %"
Google Pocket Tee Grey,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","18,95 %","0,00 %"
Google Protector Onesie Navy,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","29,62 %","0,00 %"
Google Ringer Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","29,13 %","0,00 %"
Google Rolltop Backpack Reflective,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,63 %","0,00 %"
Google Sherpa Zip Hoodie Navy,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","6,25 %","0,00 %"
Google Standard Bib Red,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","48,10 %","0,00 %"
Google Standard Onesie Green,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","23,72 %","0,00 %"
Google Standard Onesie Grey,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","30,27 %","0,00 %"
Google Stretch Fit Hat M/L Navy,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","40,00 %","0,00 %"
Google Striped Tee White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","12,85 %","0,00 %"
Google Super G Tumbler (Blue Lid),"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","17,59 %","0,00 %"
Google Super G Tumbler (Red Lid),"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","5,69 %","0,00 %"
Google Sustainable Pencil Pouch,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","8,09 %","0,00 %"
Google Toddler Flower Tee Purple,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","39,87 %","0,00 %"
