Nombre,Tamaño,Fecha
/Users/josecarlos/Documents/Github/CursoBD/Modulo03.Programacion-con-Python-para-Data-Analysis/Sesion-03/archivos.ipynb,1231,Sat May  2 14:15:06 2020
/Users/josecarlos/Documents/Github/CursoBD/Modulo03.Programacion-con-Python-para-Data-Analysis/Sesion-03/salida.json,782,Sat May  2 14:43:33 2020
/Users/josecarlos/Documents/Github/CursoBD/Modulo03.Programacion-con-Python-para-Data-Analysis/Sesion-03/salida.csv,764,Sat May  2 14:43:33 2020
/Users/josecarlos/Documents/Github/CursoBD/Modulo03.Programacion-con-Python-para-Data-Analysis/Sesion-03/__pycache__,0,Sat May  2 12:31:46 2020
/Users/josecarlos/Documents/Github/CursoBD/Modulo03.Programacion-con-Python-para-Data-Analysis/Sesion-03/archivos.py,2622,Sat May  2 14:46:13 2020
/Users/josecarlos/Documents/Github/CursoBD/Modulo03.Programacion-con-Python-para-Data-Analysis/Sesion-03/Funciones.ipynb,4879,Sat May  2 13:15:48 2020
